name,ncaa_fg3a,ncaa_fg3_pct,ncaa_ft_pct,ncaa_sos,ncaa_team_fg3a_avg,nba_avg_team_ortg,nba_relative_team_fg3a,nba_fg3_pct
Otto Porter,155,0.35483871,0.751037344,7.64,16.49230769,107.04,0.906224737,0.396111786
Trey Burke,362,0.367403315,0.776632302,9.51,21.32876712,106.425,0.943157895,0.336501901
Kentavious Caldwell-Pope,439,0.339407745,0.752,7.02,18.328125,105.04,0.970897332,0.336107554
Michael Carter-Williams,137,0.306569343,0.679425837,8.29,17.71428571,102.45,1.052546483,0.253549696
Tim Hardaway Jr.,589,0.34295416,0.724409449,9.9,21.86111111,105.22,0.985448666,0.348559382
Shabazz Muhammad,106,0.377358491,0.711111111,7.82,14.68571429,108.1,0.77930477,0.317460317
Kelly Olynyk,75,0.333333333,0.70877193,4,16.08653846,105.82,1.113985449,0.376830892
Tony Snell,434,0.380184332,0.820895522,4.95,18.87619048,106.36,0.885206144,0.381592554
Shane Larkin,269,0.375464684,0.807692308,7.03,20.50724638,105.625,0.948293692,0.327526132
Allen Crabbe,547,0.382084095,0.81875,7.16,13.54,109.1,1.154405821,0.41003672
Isaiah Canaan,725,0.419310345,0.802698145,-3.56,18.25757576,105.7333333,1.450282943,0.352272727
Reggie Bullock,486,0.386831276,0.720338983,8.41,16.95495495,108.3833333,1.249797898,0.340909091
James Ennis,277,0.353790614,0.788381743,1.39,19.01492537,105.45,1.311154599,0.366366366
Robert Covington,431,0.422273782,0.802005013,-2.86,19.34375,102.98,1.12934519,0.361328125
Ryan Kelly,269,0.379182156,0.805147059,8.87,20.23809524,103.525,0.993684211,0.315789474
Andre Roberson,143,0.34965035,0.582352941,6.43,15.95327103,109,1.005658852,0.257211538
Solomon Hill,307,0.374592834,0.744541485,7.05,19.38848921,104.35,0.945263158,0.335652174
Seth Curry,825,0.393939394,0.827309237,5.19,21.73239437,105.48,1.174736842,0.432183908
Andrew Wiggins,126,0.341269841,0.775330396,11.4,15.88571429,107.9,0.733855186,0.326815642
Marcus Smart,295,0.294915254,0.750537634,7.53,18.44776119,107.725,1.123287671,0.291404612
Zach LaVine,128,0.375,0.691176471,7.62,16.2972973,106.7333333,0.711564626,0.378310214
Elfrid Payton,112,0.267857143,0.610852713,-1.6,18.58,104.25,0.959882583,0.292207792
Doug McDermott,598,0.45819398,0.830769231,4.29,20.94482759,107.22,1.121330724,0.394415358
Aaron Gordon,45,0.355555556,0.422222222,9.04,14.76315789,104.25,0.959882583,0.315254237
Gary Harris,388,0.37628866,0.7875,9.96,17.64864865,108.225,1.050880626,0.365139949
Rodney Hood,298,0.395973154,0.772727273,6.67,21.38235294,107.1,0.999021526,0.368471035
Nik Stauskas,390,0.441025641,0.83161512,9.85,20.56578947,103.425,1.010763209,0.342925659
Jordan Clarkson,295,0.322033898,0.804928131,4.32,16.96938776,103.225,0.93444227,0.337868481
Shabazz Napier,693,0.375180375,0.813099042,8.64,17.72413793,106.2,0.922700587,0.366762178
PJ Hairston,364,0.348901099,0.8,7.54,17.60810811,104.2,1.440860215,0.294554455
D'Angelo Russell,231,0.411255411,0.756410256,7.37,18.2,104.7666667,1.05764411,0.347239264
Justise Winslow,110,0.418181818,0.641025641,9.87,18.76923077,105.8,0.972431078,0.268817204
Stanley Johnson,116,0.370689655,0.741573034,7.41,14.10526316,106.8333333,0.986215539,0.299086758
Trey Lyles,29,0.137931034,0.735294118,8.67,14.92307692,108.3666667,1.002506266,0.350828729
Cameron Payne,434,0.359447005,0.780864198,-3.19,19.56521739,109.6,1.405088063,0.319796954
Myles Turner,62,0.274193548,0.839285714,9.07,18.41176471,107.6,0.894736842,0.333333333
Devin Booker,80,0.275,0.657608696,5.58,17.8828125,104.3666667,0.926065163,0.359813084
Sam Dekker,408,0.348039216,0.69470405,10.07,20.92920354,110.4333333,1.263157895,0.295454545
Bobby Portis,63,0.365079365,0.737226277,6.18,19.7,103.7333333,0.94235589,0.329896907
Kelly Oubre,95,0.357894737,0.718181818,12.13,15.61111111,108.5,0.93358396,0.323369565
Terry Rozier,254,0.330708661,0.771929825,6.89,19.54794521,108.7333333,1.130325815,0.325
Rashad Vaughn,141,0.382978723,0.693877551,3.38,19.36363636,107.0333333,0.796992481,0.31147541
Jerian Grant,519,0.344894027,0.790123457,6.88,19.38129496,103.6,0.943609023,0.303754266
