name,ncaa_fg3a,ncaa_fg3_pct,ncaa_ft_pct,ncaa_sos,ncaa_team_fg3a_avg,nba_avg_team_ortg,nba_relative_team_fg3a,nba_fg3_pct
Norris Cole,433,0.321016166,0.826235094,1.92,17.07142857,107.9714286,1.117691154,0.323943662
Malcolm Brogdon,507,0.364891519,0.875518672,7.76,14.77142857,108.4,0.861759425,0.408759124
Tony Snell,434,0.380184332,0.820895522,4.95,18.87619048,106.36,0.885206144,0.381592554
Toney Douglas,639,0.375586854,0.802083333,7.61,19.81481481,107.87,1.421828909,0.353503185
Solomon Hill,307,0.374592834,0.744541485,7.05,19.38848921,104.35,0.945263158,0.335652174
Cameron Payne,434,0.359447005,0.780864198,-3.19,19.56521739,109.6,1.405088063,0.319796954
Ben McLemore,174,0.41954023,0.869565217,7.54,16.05405405,105.66,0.871463217,0.348837209
Chase Budinger,496,0.383064516,0.782278481,9.93,16.19,105.7375,1.180350877,0.352389078
Alec Burks,150,0.313333333,0.804040404,6.65,16.65217391,106.4857143,0.931523751,0.364912281
Gary Harris,388,0.37628866,0.7875,9.96,17.64864865,108.225,1.050880626,0.365139949
Danny Green,491,0.374745418,0.845188285,8.39,16.67808219,109.9666667,0.979313824,0.398570152
Derrick Williams,90,0.511111111,0.719360568,8.04,18.65217391,106.6375,1.333583208,0.300239234
Jeremy Lamb,336,0.348214286,0.805555556,9.25,16.90666667,108.6666667,1.027835769,0.327909887
Tim Hardaway Jr.,589,0.34295416,0.724409449,9.9,21.86111111,105.22,0.985448666,0.348559382
Sam Dekker,408,0.348039216,0.69470405,10.07,20.92920354,110.4333333,1.263157895,0.295454545
Devin Booker,80,0.275,0.657608696,5.58,17.8828125,104.3666667,0.926065163,0.359813084
Shabazz Muhammad,106,0.377358491,0.711111111,7.82,14.68571429,108.1,0.77930477,0.317460317
Kentavious Caldwell-Pope,439,0.339407745,0.752,7.02,18.328125,105.04,0.970897332,0.336107554
Justin Anderson,272,0.356617647,0.751879699,6.64,15.04716981,105.475,1.479949875,0.293729373
Rashad Vaughn,141,0.382978723,0.693877551,3.38,19.36363636,107.0333333,0.796992481,0.31147541
